time1,cali1,time2,cali2
17:57:53,-219.82,17:58:08,21.27
17:57:53,-219.78,17:58:08,21.38
17:57:53,-219.8,17:58:08,21.49
17:57:53,-219.8,17:58:08,21.68
17:57:53,-219.82,17:58:08,21.83
17:57:53,-219.8,17:58:08,22.01
17:57:53,-219.82,17:58:08,22.09
17:57:53,-219.78,17:58:09,22.27
17:57:53,-219.8,17:58:09,22.61
17:57:53,-219.8,17:58:09,23.31
17:57:53,-219.8,17:58:09,23.86
17:57:53,-219.78,17:58:09,24.24
17:57:53,-219.78,17:58:09,24.95
17:57:53,-219.78,17:58:09,25.19
17:57:53,-219.76,17:58:09,25.56
17:57:53,-219.74,17:58:09,25.62
17:57:53,-219.74,17:58:09,25.66
17:57:53,-219.78,17:58:10,25.52
17:57:53,-219.76,17:58:10,25.71
17:57:53,-219.74,17:58:10,25.99
17:57:53,-219.72,17:58:10,26.24
17:57:53,-219.74,17:58:10,26.55
17:57:53,-219.72,17:58:10,26.78
17:57:53,-219.72,17:58:10,26.82
17:57:53,-219.74,17:58:10,27.05
17:57:53,-219.72,17:58:10,27.31
17:57:53,-219.7,17:58:10,27.27
17:57:53,-219.7,17:58:11,27.64
17:57:53,-219.72,17:58:11,27.65
17:57:53,-219.72,17:58:11,27.85
17:57:53,-219.66,17:58:11,28.02
17:57:53,-219.66,17:58:11,28.22
17:57:53,-219.66,17:58:11,29.16
17:57:53,-219.66,17:58:11,29.85
17:57:53,-219.6,17:58:11,30
17:57:53,-219.62,17:58:11,29.97
17:57:53,-219.66,17:58:11,30.14
17:57:53,-219.66,17:58:12,29.89
17:57:53,-219.64,17:58:12,30.73
17:57:53,-219.62,17:58:12,31.28
17:57:53,-219.6,17:58:12,31.42
17:57:53,-219.62,17:58:12,31.65
17:57:53,-219.6,17:58:12,31.6
17:57:53,-219.58,17:58:12,31.56
17:57:53,-219.58,17:58:12,31.35
17:57:53,-219.58,17:58:12,31.16
17:57:53,-219.58,17:58:12,31.59
17:57:53,-219.58,17:58:13,31.99
17:57:53,-219.56,17:58:13,32.03
